Id,Front,Item A,Item B,Legs,Pilot,Rarity,Rarity (percent),Serial Number,Theme,Top,Price
1657,Spyder,No Item,No Item,Ravager,Rooster,D,0.4924,280046038277337204,Maverick,Breaker,0.0845
1658,Buster,No Item,No Item,Breaker,Orange Hamster,D,0.4924,774248269533223519,Dune,Ironclaw,
1659,Skyhammer,Infiltrator,No Item,Breaker,Fruit Bat,C,0.2973,183653862474778419,Dune,Ravager,
1660,Infiltrator,Spyder,Buster,Infiltrator,Bull,D,0.4924,565278919178544251,Red,Ironclaw,
1661,Peacekeeper,No Item,Renegade,Skyhammer,Black Shiba,C,0.2973,009477147744864452,Royal,Peacekeeper,
1662,Peacekeeper,No Item,Renegade,Peacekeeper,Loxy Doge,B,0.0992,103035071755003663,Nero,Buster,
1663,Deep Fried,No Item,Ravager,Ravager,Black Shiba,C,0.2973,182020739977169556,Guardian,Renegade,
1664,Buster,No Item,Peacekeeper,Spyder,Clover,C,0.2973,846370527555008443,Dune,Renegade,
1665,Skyhammer,No Item,Breaker,Spyder,Zebra,B,0.0992,000040021400840091,Hero,Renegade,0.3
1666,Renegade,No Item,Renegade,Deep Fried,Tan Frenchie,A,0.0593,327292094011597713,Puff,Spyder,
1667,Ironclaw,No Item,No Item,Breaker,Bull,D,0.4924,639661568833552813,Puff,Infiltrator,0.1189
1668,Deep Fried,No Item,Ravager,Renegade,Bear,D,0.4924,350033704966009043,Hero,Ravager,
1669,Renegade,No Item,No Item,Ravager,Boar,D,0.4924,074595537055440747,Corps,Buster,
1670,Buster,No Item,Breaker,Skyhammer,Brown Moose,C,0.2973,908433848577147735,Dune,Ravager,
1671,Ironclaw,Ironclaw,Buster,Skyhammer,White Mouse,D,0.4924,284670643863549129,Puff,Renegade,
1672,Infiltrator,Infiltrator,No Item,Peacekeeper,Canadian Goose,D,0.4924,637581575152774832,Spec. Ops,Infiltrator,0.16
1673,Spyder,Breaker,Deep Fried,Ironclaw,Brown Moose,C,0.2973,548761489249705608,Seal,Infiltrator,0.192
1674,Skyhammer,Peacekeeper,Skyhammer,Infiltrator,Mako Shark,D,0.4924,214875113440554457,Nero,Buster,0.113
1675,Ravager,No Item,Deep Fried,Renegade,German Shepherd,C,0.2973,008038508344507798,Orng,Ironclaw,0.114
1676,Deep Fried,Breaker,Breaker,Breaker,Rottweiler,D,0.4924,288014363935495539,Phantom,Skyhammer,
1677,Peacekeeper,Renegade,Spyder,Ravager,Cave Bat,D,0.4924,000023735711607249,Hero,Ravager,
1678,Renegade,Buster,No Item,Deep Fried,Bear,D,0.4924,280034992090554848,Snes,Skyhammer,
1679,Peacekeeper,No Item,No Item,Renegade,Rabbit,D,0.4924,003658208788664288,Seal,Ironclaw,
1680,Spyder,No Item,Infiltrator,Ravager,Boid,C,0.2973,667624237266707019,Dune,Skyhammer,
1681,Skyhammer,Ironclaw,Spyder,Breaker,Snake,D,0.4924,490030966490510600,Snes,Renegade,
1682,Infiltrator,Breaker,Spyder,Peacekeeper,Centipede,C,0.2973,000518272149182844,Ghost,Ironclaw,
1683,Breaker,No Item,No Item,Deep Fried,Collie,D,0.4924,630050997600116300,Seal,Renegade,
1684,Renegade,Skyhammer,No Item,Skyhammer,Cave Bat,D,0.4924,422431749045882039,Phantom,Infiltrator,
1685,Buster,Deep Fried,No Item,Deep Fried,Fruit Bat,C,0.2973,840048790540667876,Maverick,Ironclaw,
1686,Ironclaw,Ravager,No Item,Infiltrator,Blue Macaw,A,0.0593,000060115828881484,Ghost,Renegade,
1687,Spyder,No Item,Buster,Peacekeeper,Prince Cat,D,0.4924,561695378233666530,Crimson,Buster,
1688,Ravager,Infiltrator,Buster,Infiltrator,Green Frog,D,0.4924,847234412370007535,Crimson,Skyhammer,
1689,Peacekeeper,No Item,Infiltrator,Ravager,Centipede,C,0.2973,061563935755425636,Ghost,Ravager,
1690,Spyder,No Item,Breaker,Buster,Purple Centipede,B,0.0992,604516459255282452,Maverick,Breaker,
1691,Ironclaw,No Item,Ironclaw,Breaker,Orange Cat,D,0.4924,287814163877630092,Mint,Skyhammer,
1692,Spyder,No Item,Deep Fried,Buster,Tuxedo Cat,C,0.2973,840019451266507016,Seal,Deep Fried,
1693,Peacekeeper,Renegade,No Item,Deep Fried,Tiger,C,0.2973,847086493796771283,C.A.T.,Breaker,
1694,Ironclaw,No Item,Buster,Ravager,Turkey,C,0.2973,422034032855540683,C.A.T.,Skyhammer,
1695,Renegade,No Item,Infiltrator,Skyhammer,Turkey,C,0.2973,068063246022827798,Orng,Ravager,
1696,Spyder,No Item,No Item,Ravager,Fox,D,0.4924,217741438244336350,Orng,Infiltrator,
1697,Skyhammer,No Item,Deep Fried,Ironclaw,Chicken,C,0.2973,480073688455301074,Phantom,Ravager,
1698,Deep Fried,No Item,Renegade,Skyhammer,Raccoon,B,0.0992,459041843966499179,Corps,Infiltrator,
1699,Spyder,No Item,Peacekeeper,Renegade,Staffie,D,0.4924,074445606200081468,Ghost,Buster,
1700,Breaker,No Item,Infiltrator,Breaker,Chicken,C,0.2973,661892065644584985,Puff,Spyder,
1701,Infiltrator,No Item,No Item,Peacekeeper,Collie,D,0.4924,073008779177115607,Corps,Ironclaw,
1702,Infiltrator,No Item,Peacekeeper,Spyder,Rabbit,D,0.4924,845461623144881574,Phantom,Infiltrator,
1703,Infiltrator,No Item,No Item,Deep Fried,Rabbit,D,0.4924,005447293166002589,Phantom,Peacekeeper,
1704,Ironclaw,Deep Fried,Renegade,Ironclaw,Red Panda,S,0.0296,871498385860295694,High Tide,Ironclaw,
1705,Deep Fried,Ironclaw,No Item,Ravager,Chicken,C,0.2973,847271637954447080,Seal,Infiltrator,0.114
1706,Deep Fried,Spyder,Ravager,Peacekeeper,Boar,D,0.4924,492416172936602190,Orng,Breaker,
1707,Skyhammer,Buster,No Item,Spyder,Tuxedo Cat,C,0.2973,303285220418332883,Dune,Buster,
1708,Skyhammer,Spyder,Ironclaw,Spyder,Collie,D,0.4924,560092124412907841,C.A.T.,Spyder,
1709,Ravager,No Item,Ravager,Ironclaw,Fruit Bat,C,0.2973,361812680377685450,Spec. Ops,Spyder,0.1377
1710,Spyder,No Item,Ravager,Buster,Turkey,C,0.2973,540057158222280718,Orng,Peacekeeper,0.114
1711,Breaker,Spyder,No Item,Ironclaw,Blaze,D,0.4924,636490089651337763,Corps,Renegade,
1712,Infiltrator,No Item,No Item,Peacekeeper,Golden Pupper,D,0.4924,281667474144221272,Snes,Peacekeeper,0.1235
1713,Peacekeeper,Ravager,No Item,Ironclaw,Raccoon,B,0.0992,452084187752559107,Corps,Skyhammer,
1714,Skyhammer,No Item,Ravager,Ironclaw,Collie,D,0.4924,356024389488721462,High Tide,Skyhammer,0.114
1715,Breaker,Deep Fried,No Item,Deep Fried,Red Frog,A,0.0593,920093596670888414,Camo,Ravager,0.44
1716,Deep Fried,Skyhammer,No Item,Ravager,Penguin,B,0.0992,750748930985880624,Snes,Ironclaw,
1717,Ravager,No Item,Buster,Spyder,Chicken,C,0.2973,185477225366487070,High Tide,Peacekeeper,0.17
1718,Peacekeeper,Deep Fried,No Item,Skyhammer,Orange Cat,D,0.4924,217894149740337071,Corps,Skyhammer,0.1188
1719,Buster,No Item,Spyder,Spyder,Tuna,C,0.2973,307575923500510012,Snes,Buster,
1720,Deep Fried,Renegade,No Item,Breaker,Golden Pupper,D,0.4924,070009964981440098,Spec. Ops,Deep Fried,0.1433
1721,Spyder,No Item,No Item,Skyhammer,Orange Hamster,D,0.4924,911447545277331498,Orng,Peacekeeper,0.1394
1722,Infiltrator,Renegade,Deep Fried,Deep Fried,Bulldog,A,0.0593,006157997104607070,Crimson,Peacekeeper,0.1198
1723,Skyhammer,Deep Fried,Ironclaw,Ironclaw,Teal Frog,B,0.0992,503325681460272840,Seal,Buster,
1724,Breaker,No Item,Ravager,Skyhammer,Bengal Cat,C,0.2973,720058942600040604,Maverick,Ironclaw,
1725,Breaker,Breaker,No Item,Spyder,Collie,D,0.4924,634025922635667268,Spec. Ops,Buster,0.1775
1726,Deep Fried,No Item,Breaker,Ironclaw,Great White,C,0.2973,303028984988079180,Seal,Ironclaw,0.2
1727,Ironclaw,Breaker,No Item,Spyder,Grey Hamster,D,0.4924,287012024877116477,Camo,Spyder,
1728,Breaker,No Item,Skyhammer,Ravager,Great White,C,0.2973,180014436633357742,Orng,Skyhammer,
1729,Deep Fried,Peacekeeper,No Item,Ravager,Purple Frog,C,0.2973,066014737948332833,Grape,Skyhammer,
1730,Breaker,Skyhammer,No Item,Ravager,Boid,C,0.2973,845757039650111246,Maverick,Peacekeeper,0.1303
1731,Ironclaw,No Item,Deep Fried,Buster,Penguin,B,0.0992,004273553888304225,Grape,Ravager,
1732,Ravager,Renegade,No Item,Breaker,Corgi,D,0.4924,420614769346337032,Seal,Skyhammer,
1733,Renegade,No Item,No Item,Deep Fried,Grey Hamster,D,0.4924,219036399044330059,Dune,Breaker,0.22
1734,Buster,Ravager,Ravager,Ravager,Great White,C,0.2973,427046235556362158,Orng,Breaker,
1735,Deep Fried,No Item,Infiltrator,Renegade,Raccoon,B,0.0992,953012403911903609,Red,Spyder,
1736,Infiltrator,No Item,Buster,Ravager,Bear,D,0.4924,420086339188908490,Orng,Breaker,0.13
1737,Peacekeeper,Ironclaw,Spyder,Skyhammer,Staffie,D,0.4924,706628147745786032,Spec. Ops,Ironclaw,0.19
1738,Deep Fried,Deep Fried,Ironclaw,Ironclaw,Brown Moose,C,0.2973,541879183940901462,High Tide,Deep Fried,0.1186
1739,Deep Fried,No Item,Spyder,Buster,Turkey,C,0.2973,904051951911937724,Seal,Infiltrator,0.1175
1740,Renegade,No Item,Buster,Deep Fried,Pig,D,0.4924,560025490055307656,Camo,Buster,
1741,Renegade,Skyhammer,No Item,Spyder,Teal Frog,B,0.0992,408800328040222824,Seal,Renegade,
1742,Infiltrator,Spyder,No Item,Skyhammer,Chicken,C,0.2973,424856642172447723,Corps,Breaker,
1743,Skyhammer,Peacekeeper,Peacekeeper,Skyhammer,Cave Bat,D,0.4924,630019141400641631,Royal,Deep Fried,0.35
1744,Skyhammer,No Item,Buster,Ironclaw,Brown Moose,C,0.2973,000652088466240052,Maverick,Spyder,0.1445
1745,Buster,No Item,Breaker,Peacekeeper,Corgi,D,0.4924,070049779555848452,Ghost,Deep Fried,0.06
1746,Breaker,No Item,No Item,Breaker,Orange Hamster,D,0.4924,358406961644338461,Puff,Breaker,0.1189
1747,Renegade,Deep Fried,Breaker,Ironclaw,Great White,C,0.2973,303049981060639016,Maverick,Deep Fried,
1748,Infiltrator,No Item,Deep Fried,Breaker,Black Moose,B,0.0992,603463368111706340,Seal,Ravager,0.199
1749,Spyder,Buster,No Item,Renegade,Pug,B,0.0992,704073400212110071,Corps,Ravager,
1750,Deep Fried,Infiltrator,No Item,Infiltrator,Bengal Cat,C,0.2973,480029210930770792,Ghost,Deep Fried,
1751,Infiltrator,No Item,No Item,Spyder,Green Frog,D,0.4924,353699020111556522,Mint,Deep Fried,0.145
1752,Renegade,No Item,No Item,Deep Fried,Bull,D,0.4924,911654596011884206,Snes,Skyhammer,
1753,Peacekeeper,Peacekeeper,Skyhammer,Peacekeeper,Rabbit,D,0.4924,420019077732107040,Seal,Deep Fried,0.198
1754,Deep Fried,No Item,No Item,Ironclaw,Bear,D,0.4924,630027780933220708,Seal,Peacekeeper,0.2
1755,Ravager,Infiltrator,Infiltrator,Deep Fried,Tuna,C,0.2973,840050997306025410,Maverick,Renegade,0.2
1756,Spyder,Infiltrator,Renegade,Ironclaw,Fruit Bat,C,0.2973,607218281296166322,High Tide,Ironclaw,0.2
1757,Renegade,Spyder,No Item,Infiltrator,Blaze,D,0.4924,849649015054330071,C.A.T.,Deep Fried,
1758,Peacekeeper,No Item,No Item,Renegade,White Mouse,D,0.4924,356908004755557723,Corps,Ironclaw,
1759,Skyhammer,Skyhammer,No Item,Buster,Teal Frog,B,0.0992,002268658485886311,Dune,Ironclaw,0.175
1760,Infiltrator,No Item,Peacekeeper,Skyhammer,Tiger,C,0.2973,365625043166728543,Idol,Buster,
1761,Ravager,No Item,No Item,Ironclaw,Grey Hamster,D,0.4924,708009889377224276,Ghost,Deep Fried,0.0784
1762,Ravager,Breaker,No Item,Infiltrator,Bear,D,0.4924,840080215349661253,C.A.T.,Renegade,0.11
1763,Infiltrator,No Item,Buster,Infiltrator,Bengal Cat,C,0.2973,480092810166847838,Unit 001,Spyder,0.109
1764,Buster,Renegade,Peacekeeper,Spyder,Boar,D,0.4924,002159529599403598,Orng,Deep Fried,0.089
1765,Ravager,Infiltrator,No Item,Buster,Blue Macaw,A,0.0593,360043451398222497,Hero,Ravager,0.1199
1766,Breaker,Renegade,No Item,Ravager,Mako Shark,D,0.4924,564832533689117097,Mint,Spyder,
1767,Deep Fried,No Item,No Item,Deep Fried,Blaze,D,0.4924,770455495988334033,Idol,Buster,
1768,Skyhammer,Breaker,No Item,Ravager,Blaze,D,0.4924,354224436428886658,Maverick,Skyhammer,0.05
1769,Breaker,Buster,Renegade,Spyder,Great White,C,0.2973,901001228654991437,Puff,Infiltrator,
1770,Ironclaw,Infiltrator,No Item,Buster,Turkey,C,0.2973,244018559836665673,Royal,Ironclaw,
1771,Buster,No Item,Ironclaw,Renegade,Chicken,C,0.2973,120626702544547202,Spec. Ops,Breaker,0.1798
1772,Infiltrator,No Item,No Item,Spyder,Collie,D,0.4924,774034922122778493,Puff,Skyhammer,0.1825
1773,Buster,No Item,Buster,Buster,Rabbit,D,0.4924,561875252555906346,High Tide,Buster,
1774,Breaker,Skyhammer,Ravager,Spyder,Cream Frenchie,B,0.0992,555404822655368411,Mobile Suit,Skyhammer,
1775,Spyder,No Item,No Item,Renegade,White Mouse,D,0.4924,282397307233112606,Albino,Peacekeeper,0.1149
1776,Spyder,Breaker,Renegade,Buster,Great White,C,0.2973,668095155242394954,High Tide,Buster,
1777,Infiltrator,Renegade,Skyhammer,Ravager,Grey Wolf,D,0.4924,561128934102357795,Corps,Ironclaw,0.056
1778,Deep Fried,Renegade,Ironclaw,Peacekeeper,Tan Frenchie,A,0.0593,968472475901546398,Orng,Spyder,0.118
1779,Ironclaw,Skyhammer,No Item,Infiltrator,Snake,D,0.4924,000002417865446380,Seal,Spyder,
1780,Ironclaw,Spyder,Infiltrator,Peacekeeper,Flamingo,A,0.0593,961352977851747707,Corps,Spyder,0.3
1781,Deep Fried,No Item,Deep Fried,Skyhammer,Python,D,0.4924,000017342911105461,Hero,Peacekeeper,0.116
1782,Breaker,No Item,Skyhammer,Buster,Snake,D,0.4924,496335051655401875,Red,Buster,
1783,Renegade,Deep Fried,No Item,Buster,Red Frog,A,0.0593,401019057080663062,Spec. Ops,Deep Fried,
1784,Infiltrator,No Item,Spyder,Skyhammer,Green Macaw,A,0.0593,163202744100183579,Corps,Spyder,0.25
1785,Renegade,Breaker,Breaker,Skyhammer,Orange Hamster,D,0.4924,708467548091355675,Dune,Peacekeeper,0.07
1786,Ravager,Ravager,Infiltrator,Deep Fried,Cream Frenchie,B,0.0992,707596790336940717,Grape,Breaker,
1787,Skyhammer,Infiltrator,No Item,Breaker,Orange Cat,D,0.4924,216569663460114283,Dune,Deep Fried,0.16
1788,Ravager,No Item,Buster,Buster,Tuna,C,0.2973,247566857322540092,Ghost,Breaker,0.25
1789,Peacekeeper,Deep Fried,Renegade,Skyhammer,Collie,D,0.4924,007592544750604922,High Tide,Spyder,0.35
1790,Ravager,No Item,No Item,Infiltrator,Green Frog,D,0.4924,910012217388004254,Snes,Spyder,0.105
1791,Infiltrator,No Item,No Item,Deep Fried,Python,D,0.4924,773498597100660711,Dune,Ironclaw,0.116
1792,Ironclaw,No Item,No Item,Skyhammer,Corgi,D,0.4924,776086345855332129,8008,Breaker,
1793,Infiltrator,Deep Fried,No Item,Renegade,Pig,D,0.4924,631549606160554946,High Tide,Deep Fried,
1794,Renegade,No Item,No Item,Renegade,Bull,D,0.4924,212835401000777066,Orng,Buster,
1795,Spyder,No Item,Ravager,Ironclaw,Great White,C,0.2973,904026682244764295,Corps,Breaker,0.21
1796,Ironclaw,No Item,Deep Fried,Ironclaw,Great White,C,0.2973,907026987866700033,Red,Breaker,
1797,Renegade,Breaker,No Item,Infiltrator,Snake,D,0.4924,006309017007666376,Ghost,Deep Fried,
1798,Peacekeeper,No Item,Skyhammer,Renegade,Brown Mouse,C,0.2973,545699100711557005,Puff,Deep Fried,0.119
1799,Peacekeeper,Skyhammer,No Item,Peacekeeper,Bulldog,A,0.0593,687861074720224828,Royal,Infiltrator,
1800,Peacekeeper,Buster,No Item,Ironclaw,Black Moose,B,0.0992,206860580724554219,Dune,Renegade,
1801,Renegade,No Item,Buster,Peacekeeper,Prince Cat,D,0.4924,008051775066061619,Royal,Infiltrator,0.3
1802,Renegade,No Item,Peacekeeper,Deep Fried,Black Shiba,C,0.2973,120068298055403551,Dune,Ironclaw,0.12
1803,Infiltrator,Renegade,Infiltrator,Renegade,Blaze,D,0.4924,566833108176063683,Camo,Ravager,
1804,Ironclaw,Ravager,No Item,Peacekeeper,White Pupper,C,0.2973,726844779808334831,Hero,Skyhammer,0.1695
1805,Skyhammer,No Item,Ironclaw,Ironclaw,Blaze,D,0.4924,777419586488277827,Red,Deep Fried,0.2
1806,Ravager,No Item,Infiltrator,Breaker,Sloth,B,0.0992,301391364333200334,Unit 001,Infiltrator,
1807,Skyhammer,Ironclaw,No Item,Infiltrator,Blue Macaw,A,0.0593,760044411409112043,Idol,Skyhammer,
1808,Skyhammer,Renegade,Peacekeeper,Breaker,Rottweiler,D,0.4924,006078963483247861,Hero,Ironclaw,0.14
1809,Deep Fried,No Item,Skyhammer,Breaker,German Shepherd,C,0.2973,307299362966202848,Seal,Deep Fried,
1810,Buster,Breaker,No Item,Ironclaw,Orange Spider,A,0.0593,484867080556771459,Dune,Peacekeeper,
1811,Infiltrator,No Item,No Item,Spyder,Bear,D,0.4924,700069521155332837,Puff,Deep Fried,
1812,Infiltrator,Renegade,Buster,Deep Fried,Purple Centipede,B,0.0992,651864293174900039,Corps,Skyhammer,0.118
1813,Buster,Spyder,No Item,Ravager,Corgi,D,0.4924,563612534518664891,Hero,Spyder,0.118
1814,Ravager,Ironclaw,No Item,Spyder,Turkey,C,0.2973,422030127345003014,Spec. Ops,Renegade,
1815,Ravager,Ravager,No Item,Ravager,Indigo Centipede,B,0.0992,756055739308665682,Orng,Buster,0.0944
1816,Breaker,No Item,No Item,Ironclaw,Prince Cat,D,0.4924,844811581655558451,Dune,Infiltrator,
1817,Renegade,Renegade,No Item,Infiltrator,Indigo Centipede,B,0.0992,953580713013555677,Puff,Renegade,0.1196
1818,Peacekeeper,Skyhammer,Skyhammer,Skyhammer,Tribal Boar,S,0.0296,780052145780754872,Nero,Spyder,
1819,Infiltrator,Skyhammer,No Item,Breaker,Golden Pupper,D,0.4924,636419661155114539,Phantom,Deep Fried,0.1585
1820,Infiltrator,Breaker,Infiltrator,Spyder,Tiger,C,0.2973,605684124107881481,Grape,Skyhammer,0.1775
1821,Spyder,Spyder,Peacekeeper,Peacekeeper,Corgi,D,0.4924,286084871206165627,Dune,Skyhammer,0.0805
1822,,,,,,,,,,,
1823,Ravager,No Item,Infiltrator,Peacekeeper,Collie,D,0.4924,911512174300501214,Spec. Ops,Spyder,
1824,Ravager,No Item,Infiltrator,Breaker,Peacock,B,0.0992,000010964322180477,Camo,Renegade,0.208
1825,Infiltrator,Skyhammer,No Item,Breaker,Fruit Bat,C,0.2973,367201769130006396,Seal,Infiltrator,0.17
1826,Ironclaw,Skyhammer,Skyhammer,Infiltrator,White Dragon,S+,0.01,745275313815509100,Seal,Buster,1.345
1827,Renegade,No Item,Deep Fried,Peacekeeper,Tiger,C,0.2973,001448175011406397,Grape,Ironclaw,0.119
1828,Infiltrator,No Item,Buster,Peacekeeper,Black Shiba,C,0.2973,788448674166125666,Orng,Ironclaw,0.0975
1829,Ironclaw,No Item,No Item,Infiltrator,Rottweiler,D,0.4924,358015417800002126,Orng,Buster,0.115
1830,Infiltrator,No Item,Renegade,Deep Fried,Tuxedo Cat,C,0.2973,908040394155960066,Orng,Renegade,0.115
1831,Skyhammer,Skyhammer,Skyhammer,Infiltrator,Black Pupper,C,0.2973,249187817430701238,Camo,Peacekeeper,
1832,Skyhammer,No Item,Renegade,Spyder,Blue Spider,B,0.0992,707376621433650002,Orng,Breaker,
1833,Deep Fried,Buster,No Item,Deep Fried,Rooster,D,0.4924,140072597924880002,Orng,Spyder,0.1394
1834,Deep Fried,Skyhammer,Infiltrator,Renegade,Prince Cat,D,0.4924,358072209940621490,Orng,Spyder,0.1307
1835,Skyhammer,No Item,Spyder,Breaker,Brown Mouse,C,0.2973,304032064433188416,Seal,Spyder,
1836,Peacekeeper,Renegade,Deep Fried,Infiltrator,Dobermann,C,0.2973,063617011797207269,Red,Peacekeeper,0.119
1837,Ironclaw,No Item,Ironclaw,Breaker,Grey Wolf,D,0.4924,916614166800188461,Puff,Skyhammer,
1838,Skyhammer,No Item,Breaker,Spyder,Great White,C,0.2973,006059822400567754,High Tide,Deep Fried,0.0794
1839,Ironclaw,Buster,No Item,Peacekeeper,Bear,D,0.4924,000073774872225278,Nero,Ravager,0.118
1840,Ironclaw,No Item,Buster,Buster,Orange Cat,D,0.4924,280050158855065559,Phantom,Renegade,
1841,Peacekeeper,No Item,Breaker,Ravager,Chicken,C,0.2973,426040335711427083,Idol,Renegade,0.118
1842,Ironclaw,No Item,No Item,Peacekeeper,Black Horse,D,0.4924,000459976833331088,Idol,Deep Fried,0.0985
1843,Ironclaw,No Item,Renegade,Buster,Mako Shark,D,0.4924,004861055833824929,Puff,Infiltrator,0.141
1844,Renegade,Buster,No Item,Spyder,Rabbit,D,0.4924,077228921018442006,Guardian,Ironclaw,0.06
1845,Deep Fried,Breaker,Renegade,Renegade,Grey Hamster,D,0.4924,702043506991992430,Snes,Ravager,0.12
1846,Spyder,Deep Fried,No Item,Deep Fried,Blaze,D,0.4924,562884893260116094,Maverick,Skyhammer,0.2
1847,Spyder,Peacekeeper,No Item,Infiltrator,Bengal Cat,C,0.2973,300014915216774296,Snes,Skyhammer,0.146
1848,Skyhammer,No Item,Breaker,Deep Fried,Cave Bat,D,0.4924,772425797433423564,Seal,Buster,
1849,Ironclaw,Spyder,No Item,Buster,Doge,B,0.0992,754819959803884007,Mint,Deep Fried,0.1499
1850,Ravager,No Item,Breaker,Infiltrator,Corgi,D,0.4924,567231115355840785,Puff,Infiltrator,
1851,Ironclaw,Ravager,No Item,Infiltrator,Rottweiler,D,0.4924,072027318812554911,Dune,Peacekeeper,
1852,Ravager,No Item,Peacekeeper,Deep Fried,Koala,A,0.0593,800006693355488487,Corps,Breaker,0.1295
1853,Infiltrator,Breaker,No Item,Ironclaw,Grey Hamster,D,0.4924,280001983156220726,Orng,Infiltrator,0.245
1854,Ironclaw,Renegade,No Item,Skyhammer,Corgi,D,0.4924,424277043856669184,Ghost,Peacekeeper,
1855,Buster,No Item,Breaker,Spyder,Doge,B,0.0992,601692825566915676,Ghost,Spyder,0.2
1856,Deep Fried,No Item,Renegade,Infiltrator,Bear,D,0.4924,630048818966928086,Guardian,Ironclaw,
1857,Skyhammer,Buster,No Item,Ironclaw,Indigo Centipede,B,0.0992,252551187466113571,Corps,Infiltrator,0.1178
1858,Renegade,No Item,Ironclaw,Ironclaw,Chicken,C,0.2973,241239185000815734,Unit 001,Deep Fried,0.118
1859,Ravager,No Item,Ironclaw,Skyhammer,Purple Frog,C,0.2973,720043746311907846,Maverick,Ravager,0.109
1860,Ironclaw,No Item,Ravager,Skyhammer,Bengal Cat,C,0.2973,300055742866165098,Idol,Buster,
1861,Skyhammer,No Item,Buster,Ironclaw,Corgi,D,0.4924,002424787422183682,Maverick,Skyhammer,0.1496
1862,Ironclaw,No Item,Infiltrator,Breaker,Python,D,0.4924,145129362888904217,Grape,Deep Fried,0.0895
1863,Deep Fried,Breaker,Deep Fried,Renegade,Corgi,D,0.4924,074828300984809036,Snes,Ironclaw,
1864,Skyhammer,No Item,Infiltrator,Renegade,Fruit Bat,C,0.2973,305418506433563546,High Tide,Ironclaw,0.125
1865,Ironclaw,Deep Fried,No Item,Renegade,Rottweiler,D,0.4924,140053502890441430,High Tide,Ravager,
1866,Spyder,Peacekeeper,No Item,Buster,Pig,D,0.4924,283087957216225680,Seal,Peacekeeper,0.136
1867,Ironclaw,No Item,Buster,Ironclaw,Dobermann,C,0.2973,127218083877488590,Crimson,Ironclaw,
1868,Breaker,Ironclaw,Breaker,Peacekeeper,Orange Cat,D,0.4924,917821070654283685,Hero,Infiltrator,
1869,Spyder,No Item,No Item,Spyder,Grey Wolf,D,0.4924,004436721200886319,Dune,Breaker,0.16
1870,Ironclaw,No Item,No Item,Deep Fried,Python,D,0.4924,140034994800663564,Seal,Skyhammer,0.1228
1871,Deep Fried,No Item,Peacekeeper,Buster,Turkey,C,0.2973,306001553911566306,High Tide,Infiltrator,
1872,Spyder,No Item,Spyder,Breaker,Brown Mouse,C,0.2973,541287864222098468,Camo,Peacekeeper,
1873,Spyder,No Item,Spyder,Peacekeeper,Purple Frog,C,0.2973,603695278211188456,Spec. Ops,Buster,
1874,Skyhammer,Peacekeeper,No Item,Ironclaw,Grey Hamster,D,0.4924,562032380448007059,Dune,Spyder,
1875,Skyhammer,Spyder,No Item,Peacekeeper,Collie,D,0.4924,840519475457004966,Orng,Deep Fried,0.187
1876,Peacekeeper,No Item,Buster,Breaker,Black Shiba,C,0.2973,426633160766609044,Spec. Ops,Ravager,
1877,Skyhammer,No Item,Infiltrator,Deep Fried,Turkey,C,0.2973,124076090433927790,Orng,Breaker,
1878,Buster,No Item,Buster,Skyhammer,Rottweiler,D,0.4924,560044548555902886,High Tide,Skyhammer,0.125
1879,Buster,No Item,Ironclaw,Ravager,Boar,D,0.4924,285747830566002880,Camo,Peacekeeper,0.1663
1880,Skyhammer,No Item,Infiltrator,Deep Fried,Raccoon,B,0.0992,451022791411523593,Puff,Spyder,
1881,Renegade,Renegade,Infiltrator,Peacekeeper,White Pupper,C,0.2973,723474877088167017,Grape,Skyhammer,
1882,Renegade,No Item,Ravager,Breaker,Rabbit,D,0.4924,351805367055008471,Corps,Buster,
1883,Ravager,No Item,Renegade,Renegade,Turkey,C,0.2973,364083800333606370,High Tide,Ravager,
1884,Breaker,No Item,Deep Fried,Deep Fried,Rooster,D,0.4924,493852298666301097,Mint,Spyder,0.14
1885,Peacekeeper,No Item,No Item,Breaker,Prince Cat,D,0.4924,006422964733772449,Hero,Spyder,0.104
1886,Skyhammer,No Item,Renegade,Deep Fried,Grey Wolf,D,0.4924,215512198466929085,Hero,Spyder,
1887,Peacekeeper,Spyder,Renegade,Ravager,Collie,D,0.4924,008009433712787283,C.A.T.,Deep Fried,
1888,Peacekeeper,No Item,Skyhammer,Breaker,Tuna,C,0.2973,001559962700302062,Camo,Deep Fried,0.12
1889,Renegade,No Item,No Item,Spyder,Fox,D,0.4924,077069524088442847,Corps,Deep Fried,0.25
1890,Deep Fried,No Item,Ironclaw,Renegade,Dobermann,C,0.2973,300942809922364284,Ghost,Spyder,0.06
1891,Renegade,No Item,Deep Fried,Ironclaw,Red Macaw,S,0.0296,243228689033600052,Maverick,Ironclaw,0.195
1892,Spyder,Deep Fried,Breaker,Infiltrator,Corgi,D,0.4924,420062815220425258,Albino,Spyder,
1893,Infiltrator,Peacekeeper,Spyder,Infiltrator,Snake,D,0.4924,490089313172933573,Grape,Deep Fried,
1894,Ironclaw,Deep Fried,Breaker,Ironclaw,Orange Cat,D,0.4924,563939586810704991,Dune,Deep Fried,
1895,Infiltrator,Skyhammer,Skyhammer,Skyhammer,Shen Long,S+,0.01,023665446100707280,Spec. Ops,Buster,0.118
